STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
17,031,090200,6626,+42.004899,-087.813175
17,031,090300,1314,+41.999110,-087.817516
17,031,100100,5538,+41.989764,-087.782958
17,031,100200,7024,+41.995329,-087.795552
17,031,100300,6252,+41.989344,-087.805905
17,031,100400,3207,+41.989191,-087.818709
17,031,100500,6116,+41.977912,-087.819643
17,031,100600,4897,+41.978673,-087.797135
17,031,100700,4967,+41.972164,-087.797881
17,031,110100,5568,+41.986035,-087.771189
17,031,110200,2772,+41.980612,-087.773003
17,031,110300,5348,+41.974407,-087.783144
17,031,110400,4522,+41.972339,-087.773202
17,031,110501,4786,+41.976703,-087.762006
17,031,110502,3220,+41.970424,-087.760432
17,031,120100,4402,+42.006409,-087.776236
17,031,120200,4748,+41.997940,-087.758895
17,031,120300,6920,+41.991145,-087.739468
17,031,120400,3526,+41.974714,-087.751066
17,031,130100,5205,+41.992359,-087.721197
17,031,130200,1403,+41.981704,-087.733431
17,031,130300,5083,+41.985719,-087.713637
17,031,140100,3464,+41.970981,-087.706177
17,031,140200,5834,+41.970613,-087.712893
17,031,140301,2693,+41.969204,-087.723320
17,031,140302,4060,+41.972208,-087.723881
17,031,140400,6503,+41.971072,-087.737365
17,031,140500,3451,+41.965381,-087.731942
17,031,140601,2545,+41.964791,-087.725766
17,031,140602,5041,+41.964993,-087.720562
17,031,140701,2784,+41.966914,-087.713243
17,031,140702,5535,+41.963427,-087.713643
17,031,140800,6486,+41.964681,-087.703785
17,031,150200,7434,+41.959643,-087.752793
17,031,150300,7120,+41.961092,-087.761884
17,031,150401,4681,+41.964514,-087.772234
17,031,150402,3831,+41.956715,-087.772723
17,031,150501,3823,+41.964324,-087.781584
17,031,150502,4239,+41.956814,-087.781397
17,031,150600,3882,+41.949429,-087.771666
17,031,150700,4429,+41.949640,-087.761952
17,031,150800,4903,+41.949643,-087.752248
17,031,151001,2833,+41.942573,-087.754536
17,031,151002,4588,+41.942458,-087.747881
17,031,151100,5140,+41.942354,-087.761364
17,031,151200,3880,+41.942436,-087.771577
17,031,160100,2444,+41.965215,-087.741713
17,031,160200,3278,+41.959405,-087.737403
17,031,160300,3769,+41.957460,-087.730360
17,031,160400,4854,+41.957460,-087.722400
17,031,160501,3703,+41.959206,-087.713217
17,031,160502,3300,+41.955618,-087.713138
17,031,160601,3380,+41.959474,-087.703568
17,031,160602,3481,+41.955807,-087.702884
17,031,160700,5766,+41.950196,-087.703070
17,031,160800,4997,+41.950454,-087.712497
17,031,160900,2410,+41.950266,-087.722131
17,031,161000,1899,+41.949826,-087.730829
17,031,161100,1940,+41.950565,-087.737975
17,031,161200,2820,+41.942298,-087.738088
17,031,161300,3899,+41.942513,-087.730932
17,031,170100,2034,+41.955808,-087.791605
17,031,170200,3812,+41.949142,-087.781604
17,031,170300,5216,+41.949380,-087.800194
17,031,170400,4141,+41.948704,-087.812466
17,031,170500,5316,+41.948973,-087.829587
17,031,170600,2551,+41.941025,-087.830993
17,031,170700,3068,+41.941308,-087.821800
17,031,170800,3799,+41.941516,-087.812420
17,031,170900,1662,+41.936317,-087.811662
17,031,171000,7313,+41.941792,-087.795523
